"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
1,"038",-0.64387983,-0.82903755,-0.70161945,-1.5334069,-0.697731,-0.048248183,-0.64372087,-0.61128694
1,"039",-1.2064172,-1.6641915,-1.5882018,-0.220578,1.0430548,-0.29949257,-1.1772015,-1.4598749
1,"041",-1.7155455,-1.1643611,-2.440739,-2.2627263,-0.5077129,-0.63528615,-0.5205678,-2.0312345
1,"042",-1.1013703,-1.8746656,1.8462975,-0.6623529,-0.23878174,-2.0689113,-2.15835,-2.309816
1,"043",-0.33147344,-1.0766422,-2.073896,0.31052256,0.94221115,0.055891324,0.6649549,0.07581978
1,"044",-2.3636005,-2.263321,-0.7659124,-1.914559,-0.99339694,-1.8899157,-0.9000484,-1.7405913
1,"045",-1.5217396,-1.4051639,-1.7019686,0.7408012,1.2881349,-1.8706739,-0.6322234,-1.3585045
1,"046",-0.7590877,-1.2645506,-0.8851393,-0.88493425,1.6808472,-3.05429,-0.39893746,-2.1569114
1,"047",0.47188565,1.1002524,1.3340887,-1.2660118,-1.2790104,-1.8603958,-0.21696524,-2.0066311
1,"048",-1.252342,-1.0494058,-1.885191,0.9792987,-1.0318507,-2.5714402,-2.4285848,-1.9234816
1,"049",-0.783088,-0.7607046,0.8529255,-1.256575,-0.08441723,-0.1346525,1.2160279,-0.6363875
1,"050",-0.8064601,-1.5939056,-0.42835754,-1.0277382,-0.10179176,-0.37687662,-1.022682,-0.40876737
1,"051",NA,NA,NA,NA,NA,NA,NA,NA
1,"052",-0.79398185,-0.76053804,-1.928788,-1.4369986,-0.47213835,-0.2390069,0.58400714,-1.326053
1,"053",0.29581273,0.3062085,-1.4795926,-1.4299351,-0.525856,-0.22372179,0.5997225,-0.15611427
1,"054",-0.158415,-1.5639919,-0.50627136,-0.91762084,0.9192238,-0.4843289,1.2389088,-0.4714376
1,"055",NA,NA,NA,NA,NA,NA,NA,NA
1,"056",-0.8747159,-0.69645077,-2.0896058,-1.3191319,-0.38429174,-1.1607485,0.043277286,-0.70111066
1,"057",-0.13046968,-0.12246558,-1.6592613,-0.120962486,-0.1028872,-2.5097287,0.7824751,0.77423966
1,"058",-0.4695089,-0.57521385,-1.6455141,-1.1857011,0.05107041,0.26832002,0.34471735,0.27686906
1,"059",-0.06442023,0.6995694,-1.3331667,-1.5078417,-1.2917626,0.3316087,-0.73467255,-1.4235219
