time,sub,run,FS-left-amygdala,FS-right-amygdala
136,pixar128,run-01,1.2015626,0.9146267
137,pixar128,run-01,0.9427129,0.9726915
138,pixar128,run-01,0.5150097,0.5941202
139,pixar128,run-01,0.6397582,0.64452493
140,pixar128,run-01,0.77622324,0.72383153
141,pixar128,run-01,1.0941579,0.9973504
142,pixar128,run-01,1.4185487,1.4186763
143,pixar128,run-01,1.0967004,1.0223999
144,pixar128,run-01,0.60312414,0.29089203
145,pixar128,run-01,0.68392164,0.8460506
146,pixar128,run-01,0.82593405,0.63169485
147,pixar128,run-01,0.21445201,0.24534577
148,pixar128,run-01,0.38296834,0.33762053
149,pixar128,run-01,-0.042877436,0.24228069
150,pixar128,run-01,0.46936524,0.3806257
151,pixar128,run-01,1.1918156,0.90304554
152,pixar128,run-01,1.1176845,0.8495647
153,pixar128,run-01,1.0014408,0.92674
154,pixar128,run-01,0.6123994,0.44694543
155,pixar128,run-01,0.46447444,0.5754412
156,pixar128,run-01,-0.43654734,-0.044924308
157,pixar128,run-01,0.42876753,0.3211373
158,pixar128,run-01,0.1380342,0.22018053
159,pixar128,run-01,0.19196886,0.31357476
160,pixar128,run-01,0.25769702,0.4557421
161,pixar128,run-01,0.3257249,0.05707484
162,pixar128,run-01,1.0932786,1.1212604
163,pixar128,run-01,1.0986668,1.2888776
164,pixar128,run-01,1.0131646,0.8350126
165,pixar128,run-01,0.84556925,0.48868918
166,pixar128,run-01,0.94551885,0.79221815
167,pixar128,run-01,1.247875,0.7414127
0,pixar129,run-01,0.08840255,0.094833285
1,pixar129,run-01,-0.053230647,0.02008321
2,pixar129,run-01,0.042676434,0.0338315
3,pixar129,run-01,-0.07766983,-0.05043906
4,pixar129,run-01,-0.25490397,-0.38451728
5,pixar129,run-01,-0.25611103,-0.8114021
6,pixar129,run-01,-0.41918805,-0.37009957
7,pixar129,run-01,-0.40578255,-0.41147715
8,pixar129,run-01,-0.10863658,-0.30429998
9,pixar129,run-01,-0.15765299,-0.7671753
10,pixar129,run-01,-0.1747401,0.3014094
11,pixar129,run-01,0.056758102,0.4391787
12,pixar129,run-01,0.26987222,-0.1698702
13,pixar129,run-01,-0.39953148,-0.28771576
14,pixar129,run-01,0.2082703,-0.26177529
15,pixar129,run-01,-0.49109748,-0.40398175
16,pixar129,run-01,-0.34035265,-0.26312947
17,pixar129,run-01,-0.20767672,0.006320681
18,pixar129,run-01,-0.7667662,0.060668044
19,pixar129,run-01,-0.010796696,-0.8546154
20,pixar129,run-01,0.41128868,-0.57820433
21,pixar129,run-01,-0.02950987,-0.2622882
22,pixar129,run-01,0.23006718,-0.41968152
23,pixar129,run-01,-0.14705613,-0.6863828
24,pixar129,run-01,-0.4215267,-0.7695115
25,pixar129,run-01,-0.13961405,-0.23464942
26,pixar129,run-01,-1.2874277,-0.97466755
27,pixar129,run-01,-0.643999,0.1623
28,pixar129,run-01,-0.054485537,-0.122825205
29,pixar129,run-01,-0.38859373,-0.15841334
30,pixar129,run-01,-0.29864815,0.6114902
31,pixar129,run-01,-0.05270243,-0.0034596736
