time,sub,run,half,fROI-lMMPFC-lmmpfc-ls2-splithalf-01,fROI-lMMPFC-lmmpfc-ls2-splithalf-02,fROI-rMMPFC-rmmpfc-rs2-splithalf-01,fROI-rMMPFC-rmmpfc-rs2-splithalf-02
77,pixar002,run-01,splithalf-01,,0.12448783,,0.394252
78,pixar002,run-01,splithalf-01,,-0.29851264,,0.061930813
79,pixar002,run-01,splithalf-01,,0.14469332,,1.012142
80,pixar002,run-01,splithalf-01,,-0.006119071,,-0.10029103
81,pixar002,run-01,splithalf-01,,-0.060172297,,-0.5073221
0,pixar002,run-01,splithalf-02,-0.0026658892,,-0.12527989,
1,pixar002,run-01,splithalf-02,-0.49742684,,-0.47834936,
2,pixar002,run-01,splithalf-02,-0.04201182,,0.13743567,
3,pixar002,run-01,splithalf-02,0.9253578,,0.98501414,
4,pixar002,run-01,splithalf-02,-0.86255026,,-0.19645123,
5,pixar002,run-01,splithalf-02,-0.8578647,,0.20206437,
6,pixar002,run-01,splithalf-02,-0.92187023,,-1.0156367,
7,pixar002,run-01,splithalf-02,0.14922607,,-0.39302903,
8,pixar002,run-01,splithalf-02,-0.66609466,,-0.72252494,
9,pixar002,run-01,splithalf-02,0.20337372,,-0.093196295,
10,pixar002,run-01,splithalf-02,0.42491642,,0.25309378,
11,pixar002,run-01,splithalf-02,0.33917776,,0.540009,
12,pixar002,run-01,splithalf-02,-0.8086793,,-0.4241926,
13,pixar002,run-01,splithalf-02,-0.60653776,,-0.30814525,
14,pixar002,run-01,splithalf-02,-0.16382022,,0.7335022,
15,pixar002,run-01,splithalf-02,-0.06298327,,1.4407134,
16,pixar002,run-01,splithalf-02,-0.24782328,,0.5605205,
17,pixar002,run-01,splithalf-02,-0.53566617,,0.18825674,
18,pixar002,run-01,splithalf-02,-0.2876895,,0.14743558,
19,pixar002,run-01,splithalf-02,-0.3185936,,-0.7005487,
20,pixar002,run-01,splithalf-02,-0.20675378,,-0.3236974,
21,pixar002,run-01,splithalf-02,-0.2411815,,-0.5202898,
22,pixar002,run-01,splithalf-02,-0.21729192,,-0.1797066,
23,pixar002,run-01,splithalf-02,-0.4493323,,-0.4808433,
24,pixar002,run-01,splithalf-02,0.32851583,,0.06528278,
25,pixar002,run-01,splithalf-02,-0.26366737,,0.39581567,
26,pixar002,run-01,splithalf-02,-0.09528697,,0.49428296,
27,pixar002,run-01,splithalf-02,0.16382015,,0.24304381,
28,pixar002,run-01,splithalf-02,0.32792693,,-0.40133753,
29,pixar002,run-01,splithalf-02,-0.083266184,,0.09210609,
30,pixar002,run-01,splithalf-02,1.0734155,,0.8973139,
31,pixar002,run-01,splithalf-02,0.12098263,,0.95221204,
32,pixar002,run-01,splithalf-02,0.39181966,,2.4489944,
33,pixar002,run-01,splithalf-02,0.19515646,,1.3904598,
34,pixar002,run-01,splithalf-02,0.52568454,,-0.0042204047,
35,pixar002,run-01,splithalf-02,1.2646726,,-0.3425312,
36,pixar002,run-01,splithalf-02,0.6951717,,-0.20614234,
37,pixar002,run-01,splithalf-02,0.23069039,,0.20073256,
38,pixar002,run-01,splithalf-02,0.35036755,,0.4272852,
39,pixar002,run-01,splithalf-02,1.0403919,,0.8487778,
40,pixar002,run-01,splithalf-02,0.8458521,,1.1254461,
41,pixar002,run-01,splithalf-02,0.7739531,,0.87946683,
42,pixar002,run-01,splithalf-02,1.1421133,,1.1594164,
43,pixar002,run-01,splithalf-02,0.3192894,,0.30522308,
44,pixar002,run-01,splithalf-02,-0.20046484,,-0.3469264,
45,pixar002,run-01,splithalf-02,0.8616028,,0.46917564,
46,pixar002,run-01,splithalf-02,0.582512,,-0.09736922,
47,pixar002,run-01,splithalf-02,0.93777865,,0.06950811,
48,pixar002,run-01,splithalf-02,0.5974285,,0.28952098,
49,pixar002,run-01,splithalf-02,0.9339489,,0.2782922,
50,pixar002,run-01,splithalf-02,0.46057135,,-0.0840019,
51,pixar002,run-01,splithalf-02,0.5126653,,0.9221448,
52,pixar002,run-01,splithalf-02,,,,
53,pixar002,run-01,splithalf-02,,,,
54,pixar002,run-01,splithalf-02,,,,
55,pixar002,run-01,splithalf-02,,,,
56,pixar002,run-01,splithalf-02,0.33030483,,0.032218874,
57,pixar002,run-01,splithalf-02,0.5755398,,1.1847674,
58,pixar002,run-01,splithalf-02,1.7139609,,0.15350768,
59,pixar002,run-01,splithalf-02,0.84071606,,0.13465396,
60,pixar002,run-01,splithalf-02,0.8315054,,0.27519828,
61,pixar002,run-01,splithalf-02,0.046821833,,0.3477146,
62,pixar002,run-01,splithalf-02,-0.020231653,,-1.2718955,
63,pixar002,run-01,splithalf-02,0.18697599,,-0.543995,
64,pixar002,run-01,splithalf-02,-1.0005913,,-0.6366919,
65,pixar002,run-01,splithalf-02,-0.16288203,,-0.7504913,
66,pixar002,run-01,splithalf-02,0.45540744,,0.38211942,
67,pixar002,run-01,splithalf-02,0.19899471,,0.20503628,
68,pixar002,run-01,splithalf-02,-0.04940768,,0.43176118,
69,pixar002,run-01,splithalf-02,-1.1334136,,-1.099667,
70,pixar002,run-01,splithalf-02,-0.55339193,,-1.142883,
71,pixar002,run-01,splithalf-02,0.08498256,,-0.3743001,
72,pixar002,run-01,splithalf-02,0.27328357,,-0.7460735,
73,pixar002,run-01,splithalf-02,-0.5661056,,-0.05728688,
74,pixar002,run-01,splithalf-02,-1.3749559,,-1.1136816,
75,pixar002,run-01,splithalf-02,-1.3507106,,0.22094937,
76,pixar002,run-01,splithalf-02,-1.2948545,,-2.1903665,
77,pixar002,run-01,splithalf-02,-0.40226993,,-1.2647431,
78,pixar002,run-01,splithalf-02,-2.4431405,,-0.5517513,
79,pixar002,run-01,splithalf-02,-1.0659975,,-1.4390347,
80,pixar002,run-01,splithalf-02,-0.71930206,,-0.86236703,
81,pixar002,run-01,splithalf-02,-1.4800978,,-1.0208395,
0,pixar003,run-01,splithalf-01,,0.8870238,,0.26919135
1,pixar003,run-01,splithalf-01,,0.34686756,,0.40139335
2,pixar003,run-01,splithalf-01,,0.53568304,,0.64368707
3,pixar003,run-01,splithalf-01,,0.4143912,,0.75312257
4,pixar003,run-01,splithalf-01,,0.9401948,,0.8012285
5,pixar003,run-01,splithalf-01,,0.67257535,,0.34633172
6,pixar003,run-01,splithalf-01,,0.85306025,,0.88338053
7,pixar003,run-01,splithalf-01,,0.83448637,,0.5032817
8,pixar003,run-01,splithalf-01,,0.4359289,,0.44022942
9,pixar003,run-01,splithalf-01,,0.730598,,0.873814
10,pixar003,run-01,splithalf-01,,0.8397776,,1.1224902
11,pixar003,run-01,splithalf-01,,1.4230464,,1.7406456
12,pixar003,run-01,splithalf-01,,-0.51284456,,-0.15499547
13,pixar003,run-01,splithalf-01,,0.7404405,,0.9557744
14,pixar003,run-01,splithalf-01,,1.2973015,,1.1923066
15,pixar003,run-01,splithalf-01,,2.4437566,,1.6132193
16,pixar003,run-01,splithalf-01,,0.7880143,,0.82302725
17,pixar003,run-01,splithalf-01,,0.86358356,,1.1292078
18,pixar003,run-01,splithalf-01,,0.85703814,,-0.42174616
19,pixar003,run-01,splithalf-01,,0.29719687,,-0.8440587
20,pixar003,run-01,splithalf-01,,-0.8713296,,-0.6589612
21,pixar003,run-01,splithalf-01,,1.0623165,,0.6977923
22,pixar003,run-01,splithalf-01,,-1.2050965,,-1.7198179
23,pixar003,run-01,splithalf-01,,-1.5541906,,-1.3021834
24,pixar003,run-01,splithalf-01,,-1.2785056,,-1.108021
25,pixar003,run-01,splithalf-01,,-1.1102213,,-0.81655294
26,pixar003,run-01,splithalf-01,,-0.51031744,,-0.83824635
27,pixar003,run-01,splithalf-01,,0.21095271,,-0.81445277
28,pixar003,run-01,splithalf-01,,0.44970116,,-0.9019438
29,pixar003,run-01,splithalf-01,,0.07025904,,-2.417461
30,pixar003,run-01,splithalf-01,,0.91428626,,0.2839641
31,pixar003,run-01,splithalf-01,,-0.48794356,,-1.0127033
32,pixar003,run-01,splithalf-01,,-0.022992928,,-0.31634706
33,pixar003,run-01,splithalf-01,,0.46512717,,0.03573043
34,pixar003,run-01,splithalf-01,,0.44862232,,0.20512393
35,pixar003,run-01,splithalf-01,,0.47302943,,0.3524037
36,pixar003,run-01,splithalf-01,,0.12144712,,0.14834337
37,pixar003,run-01,splithalf-01,,-0.14139816,,0.63758487
38,pixar003,run-01,splithalf-01,,-1.0088298,,-0.055421542
39,pixar003,run-01,splithalf-01,,-0.23364303,,0.61499006
40,pixar003,run-01,splithalf-01,,-0.19720194,,0.3916276
41,pixar003,run-01,splithalf-01,,0.03968867,,0.76168656
42,pixar003,run-01,splithalf-01,,-0.36549106,,0.060099024
43,pixar003,run-01,splithalf-01,,0.4501361,,0.763366
44,pixar003,run-01,splithalf-01,,-0.18923156,,0.53081906
45,pixar003,run-01,splithalf-01,,-0.8123213,,0.68586063
46,pixar003,run-01,splithalf-01,,0.15970674,,0.97583693
47,pixar003,run-01,splithalf-01,,0.12100792,,0.9589653
48,pixar003,run-01,splithalf-01,,-0.107647695,,1.1890905
49,pixar003,run-01,splithalf-01,,0.4348827,,0.5237236
50,pixar003,run-01,splithalf-01,,-1.1619308,,-0.03479926
51,pixar003,run-01,splithalf-01,,-1.0464798,,-0.5327557
52,pixar003,run-01,splithalf-01,,0.14502184,,-0.17088039
53,pixar003,run-01,splithalf-01,,0.9526871,,1.3947716
54,pixar003,run-01,splithalf-01,,-0.1566785,,0.24439926
55,pixar003,run-01,splithalf-01,,0.34572315,,0.81995344
56,pixar003,run-01,splithalf-01,,-1.074215,,-0.9011362
57,pixar003,run-01,splithalf-01,,0.10735361,,0.35171807
58,pixar003,run-01,splithalf-01,,-0.61688757,,-0.6348245
59,pixar003,run-01,splithalf-01,,0.528986,,0.57634336
60,pixar003,run-01,splithalf-01,,1.0402704,,0.55318725
61,pixar003,run-01,splithalf-01,,0.7714735,,-0.65484655
62,pixar003,run-01,splithalf-01,,0.14360055,,-0.21823497
63,pixar003,run-01,splithalf-01,,0.65482557,,-0.13733092
64,pixar003,run-01,splithalf-01,,0.79339355,,-0.84166586
65,pixar003,run-01,splithalf-01,,-0.06451528,,-1.1799152
66,pixar003,run-01,splithalf-01,,-1.4698006,,-1.898159
67,pixar003,run-01,splithalf-01,,-0.76609516,,-0.67127717
68,pixar003,run-01,splithalf-01,,-1.2341064,,-1.231542
69,pixar003,run-01,splithalf-01,,-0.6228668,,-1.0231576
70,pixar003,run-01,splithalf-01,,-0.33262625,,-0.68447274
71,pixar003,run-01,splithalf-01,,-0.6669161,,-0.40138406
72,pixar003,run-01,splithalf-01,,-1.04953,,-0.7610413
73,pixar003,run-01,splithalf-01,,-0.796224,,-0.69972336
74,pixar003,run-01,splithalf-01,,-0.40618593,,0.17826009
75,pixar003,run-01,splithalf-01,,-0.947975,,-0.55286866
76,pixar003,run-01,splithalf-01,,-0.1664047,,0.7228636
77,pixar003,run-01,splithalf-01,,-0.87432957,,-0.5009209
78,pixar003,run-01,splithalf-01,,0.35916847,,0.23855619
79,pixar003,run-01,splithalf-01,,-0.98374635,,-0.2912709
80,pixar003,run-01,splithalf-01,,-1.4154447,,-0.7774658
81,pixar003,run-01,splithalf-01,,-1.0023758,,-1.2067474
0,pixar003,run-01,splithalf-02,0.8883686,,0.71369296,
1,pixar003,run-01,splithalf-02,-0.045196153,,0.26109165,
