time,sub,run,half,fROI-lFFA-lffa-lloc-splithalf-01,fROI-lFFA-lffa-lloc-splithalf-02,fROI-rFFA-rffa-rloc-splithalf-01,fROI-rFFA-rffa-rloc-splithalf-02
45,pixar002,run-01,splithalf-02,-0.06474845,,-0.23573032,
46,pixar002,run-01,splithalf-02,0.031419225,,-0.08564199,
47,pixar002,run-01,splithalf-02,0.26362267,,0.13998084,
48,pixar002,run-01,splithalf-02,0.3052789,,-0.3187138,
49,pixar002,run-01,splithalf-02,0.43135685,,0.041816246,
50,pixar002,run-01,splithalf-02,1.1880633,,0.22545066,
51,pixar002,run-01,splithalf-02,-0.5904853,,0.828526,
52,pixar002,run-01,splithalf-02,,,,
53,pixar002,run-01,splithalf-02,,,,
54,pixar002,run-01,splithalf-02,,,,
55,pixar002,run-01,splithalf-02,,,,
56,pixar002,run-01,splithalf-02,-1.2560818,,0.35064736,
57,pixar002,run-01,splithalf-02,-0.8777941,,0.51137185,
58,pixar002,run-01,splithalf-02,-0.5496148,,1.2808485,
59,pixar002,run-01,splithalf-02,0.98583984,,0.55033475,
60,pixar002,run-01,splithalf-02,-0.31713036,,0.9052582,
61,pixar002,run-01,splithalf-02,-1.2508526,,-0.11072471,
62,pixar002,run-01,splithalf-02,0.260868,,-0.94865435,
63,pixar002,run-01,splithalf-02,-0.11760934,,-0.36622524,
64,pixar002,run-01,splithalf-02,0.7069451,,0.11759885,
65,pixar002,run-01,splithalf-02,-0.25889677,,0.37445143,
66,pixar002,run-01,splithalf-02,-0.42425862,,0.54651767,
67,pixar002,run-01,splithalf-02,-1.2444916,,0.36003017,
68,pixar002,run-01,splithalf-02,-0.63263094,,-0.2555502,
69,pixar002,run-01,splithalf-02,-0.30081183,,-0.8183799,
70,pixar002,run-01,splithalf-02,-0.43418103,,-0.3658391,
71,pixar002,run-01,splithalf-02,-0.5692115,,0.42961654,
72,pixar002,run-01,splithalf-02,-0.7494953,,0.46629968,
73,pixar002,run-01,splithalf-02,-0.05123812,,0.004733787,
74,pixar002,run-01,splithalf-02,-0.30908278,,0.48365775,
75,pixar002,run-01,splithalf-02,-0.25193644,,0.7725154,
76,pixar002,run-01,splithalf-02,1.555149,,-0.43675175,
77,pixar002,run-01,splithalf-02,0.7485744,,-0.23511763,
78,pixar002,run-01,splithalf-02,0.10392096,,-1.3025633,
79,pixar002,run-01,splithalf-02,-1.5432351,,-0.77426577,
80,pixar002,run-01,splithalf-02,-0.89329416,,-1.473563,
81,pixar002,run-01,splithalf-02,-0.22859271,,-1.7996849,
0,pixar003,run-01,splithalf-01,,-0.6407412,,0.99101675
1,pixar003,run-01,splithalf-01,,-0.23833147,,0.43502313
2,pixar003,run-01,splithalf-01,,0.076985866,,1.0455481
3,pixar003,run-01,splithalf-01,,-0.13905112,,1.5689214
4,pixar003,run-01,splithalf-01,,-0.3849241,,1.3475691
5,pixar003,run-01,splithalf-01,,-0.6721482,,1.2244219
6,pixar003,run-01,splithalf-01,,-0.36867893,,0.8133993
7,pixar003,run-01,splithalf-01,,-0.63580716,,0.1725816
8,pixar003,run-01,splithalf-01,,-0.07415445,,0.56326044
9,pixar003,run-01,splithalf-01,,-0.038044736,,0.5565082
10,pixar003,run-01,splithalf-01,,0.20937245,,0.34758085
11,pixar003,run-01,splithalf-01,,0.7426585,,1.7028675
12,pixar003,run-01,splithalf-01,,-0.2989076,,-0.53005046
13,pixar003,run-01,splithalf-01,,-0.07448832,,0.1968232
14,pixar003,run-01,splithalf-01,,-0.051876746,,0.0398558
15,pixar003,run-01,splithalf-01,,0.5809804,,0.5946442
16,pixar003,run-01,splithalf-01,,-0.1791363,,-0.043696605
17,pixar003,run-01,splithalf-01,,0.16554888,,0.8495199
18,pixar003,run-01,splithalf-01,,0.79345673,,0.65708244
19,pixar003,run-01,splithalf-01,,-0.18685663,,0.5855273
20,pixar003,run-01,splithalf-01,,-0.41602287,,0.08479496
21,pixar003,run-01,splithalf-01,,-0.8846775,,-0.7350917
22,pixar003,run-01,splithalf-01,,-0.72883165,,-0.20013194
23,pixar003,run-01,splithalf-01,,-0.7999953,,-1.951137
24,pixar003,run-01,splithalf-01,,0.046816878,,-1.3831642
25,pixar003,run-01,splithalf-01,,0.08470674,,-1.2017963
26,pixar003,run-01,splithalf-01,,0.17783919,,-1.2189401
27,pixar003,run-01,splithalf-01,,-0.13178715,,-0.6937467
28,pixar003,run-01,splithalf-01,,-0.32526112,,-0.9833538
29,pixar003,run-01,splithalf-01,,-0.17624533,,-1.2104292
30,pixar003,run-01,splithalf-01,,-0.017394524,,0.15937081
31,pixar003,run-01,splithalf-01,,-0.38624844,,-0.25482452
32,pixar003,run-01,splithalf-01,,-0.39311475,,0.30100718
33,pixar003,run-01,splithalf-01,,-0.43546277,,-0.20253405
34,pixar003,run-01,splithalf-01,,0.18935081,,0.14049056
35,pixar003,run-01,splithalf-01,,0.095836684,,0.41285315
36,pixar003,run-01,splithalf-01,,0.06427722,,-0.4812873
37,pixar003,run-01,splithalf-01,,-0.025871355,,-1.2684474
38,pixar003,run-01,splithalf-01,,-0.083716586,,-1.5806239
39,pixar003,run-01,splithalf-01,,0.22798462,,-0.7779609
40,pixar003,run-01,splithalf-01,,0.06385388,,-0.05144314
41,pixar003,run-01,splithalf-01,,0.4413411,,-0.21624157
42,pixar003,run-01,splithalf-01,,0.797173,,-0.9393843
43,pixar003,run-01,splithalf-01,,0.4194293,,-0.45359993
44,pixar003,run-01,splithalf-01,,0.8085499,,0.3084387
45,pixar003,run-01,splithalf-01,,1.4922812,,-0.07426611
46,pixar003,run-01,splithalf-01,,1.0348951,,0.48361063
47,pixar003,run-01,splithalf-01,,0.728453,,0.7339689
48,pixar003,run-01,splithalf-01,,0.47579527,,0.13972677
49,pixar003,run-01,splithalf-01,,0.5284668,,1.4929821
50,pixar003,run-01,splithalf-01,,0.39415354,,0.8700539
51,pixar003,run-01,splithalf-01,,0.24111477,,0.288846
52,pixar003,run-01,splithalf-01,,0.6631796,,-0.8830484
53,pixar003,run-01,splithalf-01,,0.8279371,,0.77968514
54,pixar003,run-01,splithalf-01,,0.25743306,,-0.5244638
55,pixar003,run-01,splithalf-01,,0.5993427,,0.3916877
56,pixar003,run-01,splithalf-01,,0.11581024,,-0.781659
57,pixar003,run-01,splithalf-01,,0.79218084,,-0.44573775
58,pixar003,run-01,splithalf-01,,0.022686874,,-0.12730971
59,pixar003,run-01,splithalf-01,,0.20466629,,1.0680447
60,pixar003,run-01,splithalf-01,,-0.29199752,,1.0201801
61,pixar003,run-01,splithalf-01,,-0.46351728,,0.66647935
62,pixar003,run-01,splithalf-01,,-0.4077653,,1.198738
63,pixar003,run-01,splithalf-01,,-0.6508636,,1.0671122
64,pixar003,run-01,splithalf-01,,-0.5597404,,-0.306594
65,pixar003,run-01,splithalf-01,,-0.43865004,,-0.77020836
66,pixar003,run-01,splithalf-01,,-0.38090792,,-0.67903775
67,pixar003,run-01,splithalf-01,,-0.02158496,,-0.37017637
68,pixar003,run-01,splithalf-01,,-0.24360673,,-0.7325278
69,pixar003,run-01,splithalf-01,,-0.5486236,,-0.68521494
70,pixar003,run-01,splithalf-01,,-0.24637946,,0.20164678
71,pixar003,run-01,splithalf-01,,-0.5709113,,-0.47810477
72,pixar003,run-01,splithalf-01,,-0.27136105,,-0.9483925
73,pixar003,run-01,splithalf-01,,-0.28668362,,-0.14686131
74,pixar003,run-01,splithalf-01,,0.121561036,,-0.18232729
75,pixar003,run-01,splithalf-01,,-0.19099203,,-0.3152863
76,pixar003,run-01,splithalf-01,,0.30083868,,0.19384995
77,pixar003,run-01,splithalf-01,,-0.098322235,,0.3163857
78,pixar003,run-01,splithalf-01,,-0.49265164,,0.107021414
79,pixar003,run-01,splithalf-01,,0.450348,,-0.7761488
80,pixar003,run-01,splithalf-01,,-0.17275378,,-0.52847826
81,pixar003,run-01,splithalf-01,,-0.11232801,,0.015027473
0,pixar003,run-01,splithalf-02,0.9579023,,1.0043318,
1,pixar003,run-01,splithalf-02,0.8549717,,1.3529288,
2,pixar003,run-01,splithalf-02,1.2586133,,1.7744118,
3,pixar003,run-01,splithalf-02,0.22328357,,0.38506824,
4,pixar003,run-01,splithalf-02,0.769756,,0.5356864,
5,pixar003,run-01,splithalf-02,0.3554049,,0.8684338,
6,pixar003,run-01,splithalf-02,0.46637926,,0.8966342,
7,pixar003,run-01,splithalf-02,0.96931076,,1.6830746,
8,pixar003,run-01,splithalf-02,1.9414314,,1.7572854,
9,pixar003,run-01,splithalf-02,1.123107,,1.6570889,
